20.05.2020 12:57:10.774 [restartedMain] INFO   r.i.A.AsGihdTorisApplication - Starting AsGihdTorisApplication on kinteg-MS-7B45 with PID 6743 (/home/kinteg/work/AS-GIHD-TORIS/build/classes/java/main started by kinteg in /home/kinteg/work/AS-GIHD-TORIS)
20.05.2020 12:57:10.777 [restartedMain] INFO   r.i.A.AsGihdTorisApplication - The following profiles are active: dev
20.05.2020 12:57:10.801 [restartedMain] INFO   o.s.b.d.r.ChangeableUrls - The Class-Path manifest attribute in /home/kinteg/.gradle/caches/modules-2/files-2.1/com.github.junrar/junrar/4.0.0/93f9b74e1507db9c55c5bdd35369376a474e4db5/junrar-4.0.0.jar referenced one or more files that do not exist: file:/home/kinteg/.gradle/caches/modules-2/files-2.1/com.github.junrar/junrar/4.0.0/93f9b74e1507db9c55c5bdd35369376a474e4db5/commons-logging-1.2.jar,file:/home/kinteg/.gradle/caches/modules-2/files-2.1/com.github.junrar/junrar/4.0.0/93f9b74e1507db9c55c5bdd35369376a474e4db5/commons-vfs2-2.2.jar
20.05.2020 12:57:10.801 [restartedMain] INFO   o.s.b.d.r.ChangeableUrls - The Class-Path manifest attribute in /home/kinteg/.gradle/caches/modules-2/files-2.1/org.glassfish.jaxb/jaxb-runtime/2.3.2/5528bc882ea499a09d720b42af11785c4fc6be2a/jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/home/kinteg/.gradle/caches/modules-2/files-2.1/org.glassfish.jaxb/jaxb-runtime/2.3.2/5528bc882ea499a09d720b42af11785c4fc6be2a/jakarta.xml.bind-api-2.3.2.jar,file:/home/kinteg/.gradle/caches/modules-2/files-2.1/org.glassfish.jaxb/jaxb-runtime/2.3.2/5528bc882ea499a09d720b42af11785c4fc6be2a/txw2-2.3.2.jar,file:/home/kinteg/.gradle/caches/modules-2/files-2.1/org.glassfish.jaxb/jaxb-runtime/2.3.2/5528bc882ea499a09d720b42af11785c4fc6be2a/istack-commons-runtime-3.0.8.jar,file:/home/kinteg/.gradle/caches/modules-2/files-2.1/org.glassfish.jaxb/jaxb-runtime/2.3.2/5528bc882ea499a09d720b42af11785c4fc6be2a/stax-ex-1.8.1.jar,file:/home/kinteg/.gradle/caches/modules-2/files-2.1/org.glassfish.jaxb/jaxb-runtime/2.3.2/5528bc882ea499a09d720b42af11785c4fc6be2a/FastInfoset-1.2.16.jar,file:/home/kinteg/.gradle/caches/modules-2/files-2.1/org.glassfish.jaxb/jaxb-runtime/2.3.2/5528bc882ea499a09d720b42af11785c4fc6be2a/jakarta.activation-api-1.2.1.jar
20.05.2020 12:57:10.801 [restartedMain] INFO   o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
20.05.2020 12:57:10.801 [restartedMain] INFO   o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
20.05.2020 12:57:11.318 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
20.05.2020 12:57:11.318 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
20.05.2020 12:57:11.347 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface ru.iac.ASGIHDTORIS.spring.repo.ActionsRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
20.05.2020 12:57:11.348 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface ru.iac.ASGIHDTORIS.spring.repo.BeforeAfterPatternRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
20.05.2020 12:57:11.349 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface ru.iac.ASGIHDTORIS.spring.repo.BeforeAfterPatternTableRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
